mlbam_id,W,L,CG,SHO,SV,BS,HLD,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP
605152,1,1,0,0,0,0,0,7.0,7,4,4,0,6,2,4,0,0,1
600944,0,1,0,0,0,0,0,7.0,6,4,4,0,3,0,2,1,0,2
571578,5,13,0,0,1,0,2,155.2,177,109,89,24,66,2,131,5,0,9
501992,6,2,0,0,1,0,0,94.1,95,55,54,11,45,1,101,3,1,5
595918,1,2,0,0,0,0,0,38.1,37,24,22,7,14,1,39,2,0,1
523260,4,0,0,0,0,1,2,40.0,44,23,23,5,24,0,48,2,0,0
592741,2,1,0,0,1,0,1,33.0,29,19,19,8,13,0,33,3,0,0
623184,1,1,0,0,1,1,1,26.0,26,15,15,3,11,2,20,1,0,3
444436,0,0,0,0,0,0,0,17.1,27,11,10,2,3,1,11,0,0,3
548337,3,8,0,0,0,0,0,91.2,100,55,53,16,43,3,66,4,1,4
543339,3,2,0,0,5,2,17,60.1,65,40,35,6,22,3,58,4,0,5
572831,1,0,0,0,0,0,0,10.1,10,6,6,1,6,0,11,0,0,1
608566,1,1,0,0,0,0,0,20.2,28,12,12,2,6,0,15,3,0,0
519322,4,3,0,0,3,1,10,51.2,56,30,30,7,13,1,48,7,1,0
489446,2,1,0,0,0,2,2,41.1,41,24,24,5,19,1,50,4,0,1
430589,2,0,0,0,0,1,4,32.2,43,22,19,5,9,1,22,0,0,1
608032,3,7,0,0,11,7,11,55.0,50,32,32,6,28,4,59,5,0,3
